Code,Name,Purchase Price,Tax,Retail Price,Category Code
PRO1,ADAPTOR ACER NOTEBOOK 19 V = 1.58 A MINI,0,0,0,ADAPTOR
PRO2,ADAPTOR ACER NOTEBOOK 19 V = 4.74 A,0,0,0,ADAPTOR
PRO3,ADAPTOR ACER NOTEBOOK 19V 2.15 A,0,0,0,ADAPTOR
PRO4,ADAPTOR ACER NOTEBOOK 19V=3.42A (LIGHT),0,0,0,ADAPTOR
PRO5,ADAPTOR APPLE USB iPAD 12W,0,0,0,ADAPTOR
PRO6,ADAPTOR APPLE USB iPHN 5W,0,0,0,ADAPTOR
PRO7,ADAPTOR ASUS NOTEBOOK 19 V = 2.1 A MINI,0,0,0,ADAPTOR
PRO8,ADAPTOR ASUS NOTEBOOK 19V 1.75A,0,0,0,ADAPTOR
PRO9,ADAPTOR ASUS NOTEBOOK 19V= 3.42 A ORIGINAL,0,0,0,ADAPTOR
PRO10,ADAPTOR ASUS NOTEBOOK 19V=3.42A (LIGHT),0,0,0,ADAPTOR
PRO11,ADAPTOR ASUS NOTEBOOK UX 303L 3.42A,0,0,0,ADAPTOR
PRO12,ADAPTOR CC CAMERA NORMAL 17V2A,0,0,0,ADAPTOR
PRO13,ADAPTOR DELL NOTEBOOK 19  V = 1.58 A,0,0,0,ADAPTOR
PRO14,ADAPTOR DELL NOTEBOOK 19.5 V = 4.62 A SLIM,0,0,0,ADAPTOR
PRO15,ADAPTOR DELL NOTEBOOK 19.5 V = 6.7 A,0,0,0,ADAPTOR
PRO16,ADAPTOR DELL NOTEBOOK 19.5V- 3.34A STARPORT,0,0,0,ADAPTOR
PRO17,ADAPTOR DELL NOTEBOOK 19.5V=3.34A (LIGHT),0,0,0,ADAPTOR
PRO18,ADAPTOR DELL NOTEBOOK 19.5V=4.62A (LIGHT),0,0,0,ADAPTOR
PRO19,ADAPTOR DVR USB 12V 1.0A,0,0,0,ADAPTOR
PRO20,ADAPTOR DVR USB 12V-2 AMP,0,0,0,ADAPTOR
PRO21,ADAPTOR DVR USB 12V-3 AMP,0,0,0,ADAPTOR
PRO22,ADAPTOR FUJITSU NOTEBOOK 16 V = 3.75 A,0,0,0,ADAPTOR
PRO23,ADAPTOR FUJITSU NOTEBOOK 19 V = 3.16 A,0,0,0,ADAPTOR
PRO24,ADAPTOR FUJITSU NOTEBOOK 19 V = 4.22 A,0,0,0,ADAPTOR
PRO25,ADAPTOR FUJITSU NOTEBOOK 20V - 3.25 A,0,0,0,ADAPTOR
PRO26,ADAPTOR HP NOTEBOOK 18.5V=3.5A (LIGHT),0,0,0,ADAPTOR
PRO27,ADAPTOR HP NOTEBOOK 19.5V = 3.33 A,0,0,0,ADAPTOR
PRO28,ADAPTOR HP NOTEBOOK 19.5V=2.31A,0,0,0,ADAPTOR
PRO29,ADAPTOR HP NOTEBOOK 19.5V=6.5A,0,0,0,ADAPTOR
PRO30,ADAPTOR HP NOTEBOOK 19.5V1.58A,0,0,0,ADAPTOR
PRO31,ADAPTOR HP NOTEBOOK 19.5v-3.33A WITH PIN,0,0,0,ADAPTOR
PRO32,ADAPTOR HP NOTEBOOK 19V = 4.74 A,0,0,0,ADAPTOR
PRO33,ADAPTOR LENOVO NOTEBOOK 16V = 4.5A,0,0,0,ADAPTOR
PRO34,ADAPTOR LENOVO NOTEBOOK 19 V = 4.74 A,0,0,0,ADAPTOR
PRO35,ADAPTOR LENOVO NOTEBOOK 20 V = 3.25 A,0,0,0,ADAPTOR
PRO36,ADAPTOR LENOVO NOTEBOOK 20 V = 3.25 A USB ORIGINAL,0,0,0,ADAPTOR
PRO37,ADAPTOR LENOVO NOTEBOOK 20 V = 4.5 A,0,0,0,ADAPTOR
PRO38,ADAPTOR LENOVO NOTEBOOK 20 V = 4.5 A USB,0,0,0,ADAPTOR
PRO39,ADAPTOR LENOVO NOTEBOOK 20V - 2 A,0,0,0,ADAPTOR
PRO40,ADAPTOR LENOVO NOTEBOOK 20V-3.25A USB,0,0,0,ADAPTOR
PRO41,ADAPTOR MAC BOOK  45w L SAFE,0,0,0,ADAPTOR
PRO42,ADAPTOR MAC BOOK  60w L SAFE,0,0,0,ADAPTOR
PRO43,ADAPTOR MAC BOOK  60w MAGE  SAFE,0,0,0,ADAPTOR
PRO44,ADAPTOR MAC BOOK  85w L SAFE,0,0,0,ADAPTOR
PRO45,ADAPTOR MAC BOOK  ROUND PIN 65W,0,0,0,ADAPTOR
PRO46,ADAPTOR MAC BOOK PRO  45w MAG SAFE 2 (N),0,0,0,ADAPTOR
PRO47,ADAPTOR MAC BOOK PRO 60w L SAFE (N),0,0,0,ADAPTOR
PRO48,ADAPTOR MAC BOOK PRO 60w MAGE  SAFE 2 (N),0,0,0,ADAPTOR
PRO49,ADAPTOR MAC BOOK PRO 85w L SAFE (N),0,0,0,ADAPTOR
PRO50,ADAPTOR MAC BOOK PRO 85w MAGE  SAFE 2 (N),0,0,0,ADAPTOR
PRO51,ADAPTOR MONITOR USB 12V - 3 A,0,0,0,ADAPTOR
PRO52,ADAPTOR MONITOR USB 14V = 3A,0,0,0,ADAPTOR
PRO53,ADAPTOR SAMSUNG NOTEBOOK 12V= 3.33A,0,0,0,ADAPTOR
PRO54,ADAPTOR SAMSUNG NOTEBOOK 19V = 2.1 A,0,0,0,ADAPTOR
PRO55,ADAPTOR SAMSUNG NOTEBOOK 19V = 3.16 A,0,0,0,ADAPTOR
PRO56,ADAPTOR SAMSUNG NOTEBOOK 19V=2.1A ULTRA BOOK,0,0,0,ADAPTOR
PRO57,ADAPTOR SONY NOTEBOOK 16 V = 4 A,0,0,0,ADAPTOR
PRO58,ADAPTOR SONY NOTEBOOK 19.5 V = 3.9 A,0,0,0,ADAPTOR
PRO59,ADAPTOR SONY TV 19.5 V 4.35 A,0,0,0,ADAPTOR
PRO60,ADAPTOR SONY NOTEBOOK 19.5 V = 4.7 A,0,0,0,ADAPTOR
PRO61,ADAPTOR TOSHIBA NOTEBOOK 15V-5A,0,0,0,ADAPTOR
PRO62,ADAPTOR TOSHIBA NOTEBOOK 19V = 1.58 A,0,0,0,ADAPTOR
PRO63,ADAPTOR TOSHIBA NOTEBOOK 19V = 3.42 A,0,0,0,ADAPTOR
PRO64,ADAPTOR TOSHIBA NOTEBOOK 19V=3.42A (LIGHT),0,0,0,ADAPTOR
PRO65,AIR CONDITION CHIGO 1 TON 12000 BTU,0,0,0,AIRCONDITION
PRO66,AIR CONDITION CHIGO 1.5 TON 12000 BTU,0,0,0,AIRCONDITION
PRO67,AIR CONDITION CHIGO 2 TON 24 BTU,0,0,0,AIRCONDITION
PRO68,AIR CONDITION GENAREL 1 TON A12,0,0,0,AIRCONDITION
PRO69,AIR CONDITION GENAREL 1.5 TON FMTA,0,0,0,AIRCONDITION
PRO70,AIR CONDITION GENAREL 1.5 TON G,0,0,0,AIRCONDITION
PRO71,AIR CONDITION GENAREL 2 TON,0,0,0,AIRCONDITION
PRO72,AIR CONDITION GREE 1.5 TON gs-18 ct,0,0,0,AIRCONDITION
PRO73,AIR CONDITION GREE 1.5 TON gs-18 ug,0,0,0,AIRCONDITION
PRO74,AIR CONDITION HICO 1 TON,0,0,0,AIRCONDITION
PRO75,AIR CONDITION HICO 2 TON HS-24 FWM,0,0,0,AIRCONDITION
PRO76,AIR CONDITION MIDEA 1 TON MEF 12 CMP,0,0,0,AIRCONDITION
PRO77,AIR CONDITION MIDEA 1.5 TON MS11D-18CR,0,0,0,AIRCONDITION
