Code,Name,Purchase Price,Tax,Retail Price,Category Code
KEYMINII8,Mini Keyboard (Model i8 ),800,0,0,KEYBOARD
REMGP800,Smart Remort (Model GP-800),850,0,0,TVREMORT
AIRMOUSE,Air Mouse ,900,0,0,MOUSE
POWERBANK,Power Bank ,900,0,0,POWERBANK
ASIMOM3,Doss Asimom,2300,0,0,SPEAKER
RFC,Doss Bluetooth,1800,0,0,SPEAKER
LASERPOINTER,Laser Pointer ,800,0,0,LASERPOINTER
ADAUSB3,USB Car Charger,400,0,0,ADAPTOR
SPEAKERKINGONE,Speaker Kingone ,2200,0,0,SPEAKER
KEYPROTECTOR,Keyboard Protector,200,0,0,KEYBOARD
VRIPCAMERA,VR Cam-Ip Camera ,4000,0,0,IPCAMERA
A106,Blutooth Head Phone (A106),950,0,0,HEADPHONE
HDCAMERA,HD Camera CCTV,0,0,0,CCCAMERA
CATCHING,Laptop Catching ,0,0,0,CATCHING
FLASHDRIVE32,Flash Drive 32GB,0,0,0,PENDRIVE
FLASHDRIVE64,Flash Drive 64GB,0,0,0,PENDRIVE
LIUSBCABLEOR1,Lighting to USB Cable 1m (Original ),0,0,0,USBCABLE
USBCCHARGER1,USB C Charger2m (Original ),0,0,0,USBCABLE
USBCPOWER1,USB C Power Adapter 29w (Original),0,0,0,USBCABLE
ADPMICUSB,Lighting to micro USB Adapter  (Original ),0,0,0,ADAPTOR
ADPUSBPOWER,USB Power Adapter ,0,0,0,ADAPTOR
LIUSBCABLECO,Lighting to USB Cable 1m ,0,0,0,USBCABLE
USBCCHARGER2,USB C Charger cable 2m,0,0,0,USBCABLE
USBCPOWE2,USB C Power Adapter ,0,0,0,ADAPTOR
LIUSBCABLEOR2,Lighting to USB Camera Adapter,0,0,0,USBCABLE
EARPODS,Ear Pod's (Head phone ),0,0,0,HEADPHONE
